data e hora,Dióxido de Nitrogênio
26/01/2023 23:30:00,27.40
27/01/2023 00:30:00,15.29
27/01/2023 01:30:00,11.64
27/01/2023 02:30:00,9.35
27/01/2023 03:30:00,7.64
27/01/2023 04:30:00,10.70
27/01/2023 05:30:00,14.50
27/01/2023 06:30:00,17.98
27/01/2023 07:30:00,16.95
27/01/2023 08:30:00,20.17
27/01/2023 09:30:00,34.27
27/01/2023 10:30:00,20.98
27/01/2023 11:30:00,29.86
27/01/2023 12:30:00,22.34
27/01/2023 13:30:00,20.59
27/01/2023 14:30:00,18.29
27/01/2023 15:30:00,11.86
27/01/2023 16:30:00,08.05
27/01/2023 17:30:00,13.99
27/01/2023 18:30:00,16.86
27/01/2023 19:30:00,14.44
27/01/2023 20:30:00,18.91
27/01/2023 21:30:00,24.13
27/01/2023 22:30:00,18.55
27/01/2023 23:30:00,20.79
28/01/2023 00:30:00,19.26
28/01/2023 01:30:00,9.21
28/01/2023 02:30:00,12.19
28/01/2023 03:30:00,20.14
28/01/2023 04:30:00,15.75
28/01/2023 05:30:00,17.04
28/01/2023 06:30:00,14.45
28/01/2023 07:30:00,10.39
28/01/2023 08:30:00,8.47
28/01/2023 09:30:00,6.73
28/01/2023 10:30:00,8.91
28/01/2023 11:30:00,7.20
28/01/2023 12:30:00,7.94
28/01/2023 13:30:00,4.68
28/01/2023 14:30:00,5.18
28/01/2023 15:30:00,3.33
28/01/2023 16:30:00,3.96
28/01/2023 17:30:00,08.04
28/01/2023 18:30:00,6.55
28/01/2023 19:30:00,10.58
28/01/2023 20:30:00,11.99
28/01/2023 21:30:00,14.90
28/01/2023 22:30:00,16.69
28/01/2023 23:30:00,12.33
29/01/2023 00:30:00,10.90
29/01/2023 01:30:00,12.77
29/01/2023 02:30:00,10.32
29/01/2023 03:30:00,7.84
29/01/2023 04:30:00,5.37
29/01/2023 05:30:00,8.24
29/01/2023 06:30:00,6.53
29/01/2023 07:30:00,3.99
29/01/2023 08:30:00,3.66
29/01/2023 09:30:00,4.41
29/01/2023 10:30:00,5.48
29/01/2023 11:30:00,4.76
29/01/2023 12:30:00,5.42
29/01/2023 13:30:00,4.56
29/01/2023 14:30:00,4.65
29/01/2023 15:30:00,3.34
29/01/2023 16:30:00,3.48
29/01/2023 17:30:00,4.88
29/01/2023 18:30:00,8.69
29/01/2023 19:30:00,10.18
29/01/2023 20:30:00,11.05
29/01/2023 21:30:00,15.45
29/01/2023 22:30:00,14.68
29/01/2023 23:30:00,9.00
30/01/2023 00:30:00,10.99
30/01/2023 01:30:00,14.21
30/01/2023 02:30:00,6.16
30/01/2023 03:30:00,12.12
30/01/2023 04:30:00,11.55
30/01/2023 05:30:00,22.19
30/01/2023 06:30:00,20.60
30/01/2023 07:30:00,16.79
30/01/2023 08:30:00,11.11
30/01/2023 09:30:00,9.62
30/01/2023 10:30:00,10.57
30/01/2023 11:30:00,7.75
30/01/2023 12:30:00,5.54
30/01/2023 13:30:00,5.28
30/01/2023 14:30:00,5.22
30/01/2023 15:30:00,6.35
30/01/2023 16:30:00,6.95
30/01/2023 17:30:00,9.57
30/01/2023 18:30:00,14.08
30/01/2023 19:30:00,18.88
30/01/2023 20:30:00,18.84
30/01/2023 21:30:00,20.97
30/01/2023 22:30:00,20.94
30/01/2023 23:30:00,15.59
31/01/2023 00:30:00,10.97
31/01/2023 01:30:00,6.45
31/01/2023 02:30:00,06.07
31/01/2023 03:30:00,07.06
31/01/2023 04:30:00,8.29
31/01/2023 05:30:00,11.33
31/01/2023 06:30:00,14.23
31/01/2023 07:30:00,14.28
31/01/2023 08:30:00,13.74
31/01/2023 09:30:00,8.85
31/01/2023 10:30:00,8.51
31/01/2023 11:30:00,10.90
31/01/2023 12:30:00,6.55
31/01/2023 13:30:00,5.48
31/01/2023 14:30:00,6.19
31/01/2023 15:30:00,07.05
31/01/2023 16:30:00,6.46
31/01/2023 17:30:00,08.02
31/01/2023 18:30:00,9.87
31/01/2023 19:30:00,16.46
31/01/2023 20:30:00,20.24
31/01/2023 21:30:00,24.29
31/01/2023 22:30:00,17.71
31/01/2023 23:30:00,17.36
01/02/2023 00:30:00,15.57
01/02/2023 01:30:00,12.96
01/02/2023 02:30:00,9.91
01/02/2023 03:30:00,8.40
01/02/2023 04:30:00,10.02
01/02/2023 05:30:00,12.80
01/02/2023 06:30:00,16.90
01/02/2023 07:30:00,10.52
01/02/2023 08:30:00,11.29
01/02/2023 09:30:00,0.00
01/02/2023 10:30:00,0.00
01/02/2023 11:30:00,0.00
01/02/2023 12:30:00,0.00
01/02/2023 13:30:00,0.00
01/02/2023 14:30:00,0.00
01/02/2023 15:30:00,0.00
01/02/2023 16:30:00,0.00
01/02/2023 17:30:00,0.00
01/02/2023 18:30:00,0.00
01/02/2023 19:30:00,0.00
01/02/2023 20:30:00,0.00
01/02/2023 21:30:00,0.00
01/02/2023 22:30:00,0.00
01/02/2023 23:30:00,0.00
02/02/2023 00:30:00,0.00
02/02/2023 01:30:00,0.00
02/02/2023 02:30:00,0.00
02/02/2023 03:30:00,0.00
02/02/2023 04:30:00,0.00
02/02/2023 05:30:00,0.00
02/02/2023 06:30:00,0.00
02/02/2023 07:30:00,0.00
02/02/2023 08:30:00,0.00
02/02/2023 09:30:00,0.00
02/02/2023 10:30:00,0.00
02/02/2023 11:30:00,0.00
02/02/2023 12:30:00,0.00
02/02/2023 13:30:00,0.00
02/02/2023 14:30:00,0.00
02/02/2023 15:30:00,5.24
02/02/2023 16:30:00,0.00
02/02/2023 17:30:00,9.89
02/02/2023 18:30:00,11.49
02/02/2023 19:30:00,14.26
02/02/2023 20:30:00,15.96
02/02/2023 21:30:00,15.48
02/02/2023 22:30:00,16.21
02/02/2023 23:30:00,14.28
03/02/2023 00:30:00,9.66
03/02/2023 01:30:00,6.92
03/02/2023 02:30:00,7.82
03/02/2023 03:30:00,6.64
03/02/2023 04:30:00,13.24
03/02/2023 05:30:00,25.79
03/02/2023 06:30:00,21.31
03/02/2023 07:30:00,13.83
03/02/2023 08:30:00,10.07
03/02/2023 09:30:00,11.45
03/02/2023 10:30:00,10.28
03/02/2023 11:30:00,10.92
03/02/2023 12:30:00,10.72
03/02/2023 13:30:00,9.66
03/02/2023 14:30:00,6.87
03/02/2023 15:30:00,8.36
03/02/2023 16:30:00,12.82
03/02/2023 17:30:00,12.74
03/02/2023 18:30:00,13.45
03/02/2023 19:30:00,13.00
03/02/2023 20:30:00,15.60
03/02/2023 21:30:00,16.93
03/02/2023 22:30:00,12.76
03/02/2023 23:30:00,13.50
04/02/2023 00:30:00,9.75
04/02/2023 01:30:00,4.54
